"PROJECT_CODE","YEAR","n","LM_P_","LM_P_CI_","TM_P_","TM_P_CI_","MT1_P_","MT1_P_CI_","MT2_P_","MT2_P_CI_","MT3_P_","MT3_P_CI_","MT4_P_","MT4_P_CI_","MT5_P_","MT5_P_CI_","MT6_P_","MT6_P_CI_","MT7_P_","MT7_P_CI_","MT8_P_","MT8_P_CI_","MT9_P_","MT9_P_CI_","MT10_P_","MT10_P_CI_","MM_P_","MM_P_CI_","TF_P_","TF_P_CI_","FT11_P_","FT11_P_CI_","FT12_P_","FT12_P_CI_","FT13_P_","FT13_P_CI_","MF_P_","MF_P_CI_"
"T04","2011",37,42660.000000,40810.000000,4448010.000000,1983150.000000,12548.000000,21626.000000,30112.000000,35746.000000,0.000000,0.000000,0.000000,0.000000,9138.000000,12418.000000,85620.000000,81427.000000,16151.000000,16343.000000,24341.000000,15293.000000,159347.000000,97816.000000,4110124.000000,1938379.000000,137418.000000,120581.000000,4338695.000000,2231119.000000,4089772.000000,2235923.000000,23951.000000,14710.000000,224972.000000,173000.000000,248923.000000,177514.000000
"T04","2012",37,21408.000000,20993.000000,4831710.000000,1795663.000000,0.000000,0.000000,21408.000000,20993.000000,0.000000,0.000000,0.000000,0.000000,4576.000000,5033.000000,52637.000000,35955.000000,169988.000000,74234.000000,18277.000000,14400.000000,2532729.000000,1241798.000000,2032095.000000,742104.000000,78621.000000,51943.000000,5301416.000000,2526810.000000,4638687.000000,2187999.000000,451815.000000,301272.000000,210913.000000,299294.000000,662728.000000,451871.000000
"T04","2013",37,38077.000000,34026.000000,3179046.000000,975058.000000,1892.000000,2680.000000,33570.000000,31612.000000,0.000000,0.000000,2616.000000,4155.000000,74796.000000,38172.000000,66449.000000,62096.000000,1300168.000000,533286.000000,90386.000000,68578.000000,680678.000000,260001.000000,925729.000000,412520.000000,179322.000000,103548.000000,3133209.000000,1541356.000000,1175307.000000,465649.000000,1257665.000000,786220.000000,700237.000000,747885.000000,1957902.000000,1353766.000000
"T04","2017",38,7078.000000,8329.000000,1135943.000000,806870.000000,4458.000000,6621.000000,2619.000000,5303.000000,0.000000,0.000000,0.000000,0.000000,94281.000000,100166.000000,16392.000000,20616.000000,219796.000000,232654.000000,10675.000000,10330.000000,553408.000000,442525.000000,234313.000000,111486.000000,117751.000000,125434.000000,1136328.000000,1019282.000000,839202.000000,727415.000000,228516.000000,221965.000000,68610.000000,88768.000000,297126.000000,302289.000000
"T04","2018",39,5512.000000,7993.000000,7993072.000000,13363159.000000,5512.000000,7993.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,153509.000000,130582.000000,40561.000000,68547.000000,4065186.000000,6768799.000000,167385.000000,192423.000000,2997244.000000,5631263.000000,563675.000000,812249.000000,199582.000000,185960.000000,2684444.000000,3020705.000000,1669575.000000,2891966.000000,897225.000000,924631.000000,117644.000000,200028.000000,1014869.000000,955411.000000
"T05","1990",24,878119.000000,908963.000000,8406909.000000,5347618.000000,145516.000000,119230.000000,732602.000000,830013.000000,0.000000,0.000000,0.000000,0.000000,379156.000000,347979.000000,3142751.000000,2521016.000000,684951.000000,1216890.000000,563478.000000,371609.000000,415444.000000,785966.000000,2343010.000000,1888735.000000,4400026.000000,3666193.000000,3402140.000000,2963358.000000,2741071.000000,2423360.000000,293265.000000,554135.000000,367804.000000,397650.000000,661069.000000,727759.000000
"T05","1991",17,633072.000000,861578.000000,4321853.000000,3683036.000000,70851.000000,78067.000000,562221.000000,794581.000000,0.000000,0.000000,0.000000,0.000000,631487.000000,558620.000000,1791246.000000,1934810.000000,490496.000000,402249.000000,154614.000000,123292.000000,257555.000000,330947.000000,363383.000000,258914.000000,3055805.000000,3200572.000000,623962.000000,422262.000000,485382.000000,301555.000000,65684.000000,139234.000000,72897.000000,70581.000000,138581.000000,172967.000000
"T05","1992",25,255690.000000,261499.000000,3511578.000000,2627945.000000,23600.000000,31703.000000,227447.000000,252772.000000,0.000000,0.000000,4643.000000,9582.000000,197965.000000,201418.000000,1429446.000000,1234859.000000,423306.000000,424083.000000,265188.000000,280111.000000,650387.000000,693225.000000,289596.000000,208112.000000,1883101.000000,1508685.000000,783740.000000,718053.000000,529093.000000,433590.000000,189767.000000,224816.000000,64879.000000,98729.000000,254647.000000,322152.000000
"T05","1993",15,217974.000000,297377.000000,3888960.000000,2786986.000000,46898.000000,59098.000000,171076.000000,300354.000000,0.000000,0.000000,0.000000,0.000000,269379.000000,144483.000000,1030283.000000,1679601.000000,1041076.000000,1039478.000000,424249.000000,310169.000000,289969.000000,312260.000000,616031.000000,690263.000000,1517636.000000,1962607.000000,2465220.000000,2491195.000000,806903.000000,837524.000000,1320910.000000,2210517.000000,337408.000000,624376.000000,1658317.000000,2295012.000000
"T05","1994",17,313137.000000,248129.000000,7691041.000000,6782889.000000,87401.000000,63699.000000,219040.000000,234394.000000,0.000000,0.000000,6696.000000,14194.000000,1582732.000000,1180035.000000,1163094.000000,944066.000000,2044741.000000,2736661.000000,749929.000000,615806.000000,1494026.000000,1634995.000000,343382.000000,292072.000000,3058963.000000,2138407.000000,2504370.000000,2204704.000000,855041.000000,673889.000000,936965.000000,1125965.000000,712365.000000,732864.000000,1649330.000000,1676064.000000
"T05","1995",24,296333.000000,189023.000000,5143985.000000,3195134.000000,210128.000000,178071.000000,86205.000000,77991.000000,0.000000,0.000000,0.000000,0.000000,1088337.000000,895403.000000,1095043.000000,1004531.000000,1341774.000000,1289792.000000,644612.000000,518124.000000,635435.000000,602964.000000,42450.000000,48564.000000,2479713.000000,1598141.000000,900441.000000,712697.000000,265255.000000,213756.000000,442922.000000,495537.000000,192264.000000,206721.000000,635186.000000,626801.000000
"T05","1996",18,652346.000000,854734.000000,6630209.000000,4351913.000000,148005.000000,161773.000000,498018.000000,717604.000000,0.000000,0.000000,6324.000000,13341.000000,1248800.000000,1024297.000000,2398561.000000,2478115.000000,463972.000000,478691.000000,540381.000000,373778.000000,236092.000000,201056.000000,1090056.000000,1249414.000000,4299707.000000,3887412.000000,1240547.000000,1230277.000000,1004562.000000,1221430.000000,18151.000000,27939.000000,217834.000000,310782.000000,235985.000000,314104.000000
"T05","1997",18,634540.000000,550799.000000,4721354.000000,2650767.000000,169206.000000,204002.000000,452306.000000,402449.000000,0.000000,0.000000,13027.000000,27483.000000,320655.000000,301174.000000,2267804.000000,1436481.000000,25501.000000,24422.000000,574731.000000,561438.000000,37979.000000,38973.000000,860145.000000,955064.000000,3222998.000000,1994094.000000,488397.000000,386641.000000,360957.000000,379264.000000,13027.000000,27483.000000,114413.000000,94497.000000,127440.000000,98510.000000
"T05","1998",22,155707.000000,130260.000000,1200587.000000,758395.000000,40995.000000,85246.000000,114712.000000,88492.000000,0.000000,0.000000,0.000000,0.000000,41045.000000,74853.000000,426881.000000,383099.000000,0.000000,0.000000,88982.000000,111947.000000,47759.000000,49797.000000,440213.000000,306244.000000,623632.000000,472526.000000,400627.000000,305277.000000,390173.000000,304350.000000,5329.000000,11082.000000,5124.000000,10656.000000,10454.000000,15004.000000
"T05","1999",19,104686.000000,98278.000000,3924726.000000,5203674.000000,6050.000000,12709.000000,98636.000000,95434.000000,0.000000,0.000000,0.000000,0.000000,134270.000000,186367.000000,383027.000000,544274.000000,1806778.000000,3756091.000000,86230.000000,118422.000000,155404.000000,300265.000000,1254331.000000,1927171.000000,621982.000000,796927.000000,1328941.000000,2045100.000000,1262254.000000,2050170.000000,60637.000000,94448.000000,6050.000000,12709.000000,66687.000000,94350.000000
