"YEAR","PROJECT_CODE","n","A","bigN","LM_CBar","LM_varC","LM_varCBar","LM_P","LM_VarP","LM_P_CI","TM_CBar","TM_varC","TM_varCBar","TM_P","TM_VarP","TM_P_CI","SM_CBar","SM_varC","SM_varCBar","SM_P","SM_VarP","SM_P_CI","TF_CBar","TF_varC","TF_varCBar","TF_P","TF_VarP","TF_P_CI"
"2005","T06",40,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050252,0.049212,0.001229,1905.286303,1766699.187812,2688.504857
"2006","T04",17,81.231001,12339.229851,3.075576,44.788907,2.631011,37949.510482,400573261.589574,42428.476332,56.122693,30899.527846,1815.115115,692497.306280,276352457605.308,1114418.012823,53.047116,28736.528808,1688.055172,654547.795797,257007498586.201,1074705.211709,25.930966,2147.334312,126.139758,319961.915905,19204860264.0318,293779.869367
"2006","T05",27,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.306306,21.529715,0.797213,153159.051361,10958971453.5570,215183.315406,1.172839,21.373865,0.791442,137510.616994,10879641294.3716,214403.062819,0.444444,3.794871,0.140518,52109.286440,1931650770.38873,90341.646731
"2007","T04",16,81.231001,12339.229851,1.072506,3.451975,0.215468,13233.643907,32805254.936149,12208.063041,9.043550,162.541098,10.145645,111588.272963,1544681200.06796,83771.151493,7.971044,139.742235,8.722564,98354.629055,1328016146.20822,77674.189876,27.223674,3332.036927,207.982271,335912.622662,31665436260.9759,379286.855916
"2007","T05",24,771.862373,117248.182588,0.083333,0.079710,0.003320,9770.491207,45646632.008067,13976.324720,0.250000,0.717391,0.029885,29311.473622,410819688.072607,41928.974160,0.166666,0.666666,0.027772,19540.982415,381771831.340201,40419.464310,0.041666,0.041666,0.001735,4885.245603,23860739.458762,10104.866077
"2007","T06",32,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.031250,0.000975,1184.820000,1402613.635521,2415.436360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.031250,0.000975,1184.820000,1402613.635521,2415.436360
"2008","T04",16,81.231001,12339.229851,0.890601,4.376707,0.273189,10989.121329,41593281.734677,13746.326299,9.079978,130.158794,8.124376,112037.750462,1236941574.29570,74963.464226,8.189376,93.228522,5.819227,101048.629133,885981124.885759,63443.522758,15.531339,354.094907,22.102235,191641.024778,3365079666.76446,123643.909884
"2009","T04",15,81.231001,12339.229851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.734006,3.209915,0.213734,9056.901054,32541174.365386,12234.908198,0.734006,3.209915,0.213734,9056.901054,32541174.365386,12234.908198,0.200000,0.314285,0.020926,2467.797810,3186135.743980,3828.390602
"2009","T06",43,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2010","T05",23,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130434,0.209486,0.009106,15292.942759,125180764.411109,23203.364871,0.130434,0.209486,0.009106,15292.942759,125180764.411109,23203.364871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2011","T04",37,81.231001,12339.229851,0.050050,0.092685,0.002497,617.567019,380245.403404,1250.604720,0.101044,0.183654,0.004948,1246.786247,753451.732058,1760.417978,0.050994,0.096215,0.002592,629.219227,394729.653374,1274.201036,0.100134,0.180410,0.004861,1235.557755,740141.660616,1744.799396
"2011","T06",43,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2012","T04",37,81.231001,24678.459703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.254208,0.805048,0.021725,3136.673360,3307714.562515,3688.519553,0.254208,0.805048,0.021725,3136.673360,3307714.562515,3688.519553,0.057260,0.121314,0.003273,706.538539,498448.270406,1431.851978
"2012","T05",23,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2013","T04",37,81.231001,24678.459703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.334807,1.564273,0.042214,4131.187138,6427150.218647,5141.588347,0.334807,1.564273,0.042214,4131.187138,6427150.218647,5141.588347,0.168002,0.580780,0.015673,2072.984664,2386259.914614,3132.903012
"2013","T06",43,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2014","T06",41,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2015","T06",43,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2017","T04",38,81.231001,24678.459703,0.211262,1.040312,0.027334,2606.769256,4161695.153460,4133.479847,10.788344,724.716502,19.042120,133117.264951,2899175246.02403,109098.285627,10.577081,709.396257,18.639576,130510.495694,2837887728.26630,107938.976878,18.644727,2414.150657,63.432456,230057.083817,9657632749.28078,199120.528100
"2017","T06",43,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046376,0.092485,0.002148,1758.347591,3088279.807512,3546.476289,0.023188,0.023121,0.000537,879.173795,772069.951878,1773.238144,0.263111,1.374855,0.031937,9975.683895,45909267.778322,13673.790533
"2018","T04",39,81.231001,24678.459703,2.453717,97.621412,2.499157,30276.392945,380498341.274934,39488.574542,26.437068,4995.540411,127.888354,326206.697500,19471085229.1096,282481.591789,23.983350,3734.991910,95.617677,295930.304555,14557853572.4620,244255.159534,78.545813,114189.198140,2923.301077,969175.937530,445074491649.406,1350552.356936
"2018","T06",43,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
